local,visita,goles_local,goles_visita,torneo_id,temporada,importancia,fecha,elo_local,elo_visita
Cabo Verde,Eswatini,0,0,1,2023,1,,1389.79,979.01
Burkina Faso,Togo,1,0,1,2023,1,,1406.99,1152.76
Cameroon,Namibia,1,1,1,2023,1,,1481.24,1148.84
Guinea,Ethiopia,2,0,1,2023,1,,1295.6,1083.2219390453379
Egypt,Malawi,2,0,1,2023,1,,1570.67,1119.2574053309381
Uganda,Tanzania,0,1,1,2023,1,,1264.09,1180.27
Mali,Gambia,2,0,1,2023,1,,1455.59,1159.64
Ivory Coast,Comoros,3,1,1,2023,1,,1568.62,1187.91
DR Congo,Mauritania,3,1,1,2023,1,,1100.0,1176.68
Equatorial Guinea,Botswana,2,0,1,2023,1,,1195.2,1063.63
Tunisia,Libya,3,0,1,2023,1,,1453.0,1182.08
South Africa,Liberia,2,2,1,2023,1,,1100.0,1080.44
Senegal,Mozambique,5,1,1,2023,1,,1100.0,1218.62
Gibraltar,Greece,0,3,1,2023,1,,820.26,1473.19
France,Netherlands,4,0,1,2023,1,,1887.11,1100.0
Czechia,Poland,3,1,1,2023,1,,1481.49,1526.18
Moldova,Faroe Islands,1,1,1,2023,1,,1008.24,1136.59
Austria,Azerbaijan,4,1,1,2023,1,,1612.86,1132.0
Sweden,Belgium,0,3,1,2023,1,,1523.2650534361626,1733.93
Bulgaria,Montenegro,0,1,1,2023,1,,1271.68,1301.98
Serbia,Lithuania,2,0,1,2023,1,,1509.8049777016793,1056.85
Grenada,USA,1,7,1,2023,1,,983.2195203223017,1702.0687430282712
Bahamas,Trinidad and Tobago,0,3,1,2023,1,,786.82,1228.1991725226703
Nicaragua,Saint Vincent and the Grenadines,4,1,1,2023,1,,1114.63,1100.0
Belize,Guatemala,1,2,1,2023,1,,907.0,1104.1159498033562
Anguilla,Saint Lucia,1,2,1,2023,1,,760.25,1096.5874337291043
Bahrain,Palestine,1,2,0,2023,0,,1255.587372834552,1243.71
Bangladesh,Seychelles,1,0,0,2023,0,,905.7225946690619,804.16
Bhutan,Laos,1,2,1,2023,1,,870.81,880.4536647232059
Georgia,Mongolia,6,1,0,2023,0,,1355.26,874.47
Germany,Peru,2,0,0,2023,0,,1743.54,1457.69
Indonesia,Burundi,3,1,0,2023,0,,1158.2055913417032,1100.0
Morocco,Brazil,2,1,0,2023,0,,1769.98,1772.01
Myanmar,Kyrgyzstan,1,1,1,2023,1,,1004.7395464078319,1100.0
Thailand,Syria,1,3,0,2023,0,,1252.4679139343366,1283.05
United Arab Emirates,Tajikistan,0,0,0,2023,0,,1095.8762282142168,1224.19
Scotland,Cyprus,3,0,1,2023,1,,1504.41,1100.0
Spain,Norway,3,0,1,2023,1,,1856.03,1577.18
Croatia,Wales,1,1,1,2023,1,,1695.21,1516.95
Armenia,Türkiye,1,2,1,2023,1,,1189.63,1550.13
Belarus,Switzerland,0,5,1,2023,1,,1242.88,1654.94
Israel,Kosovo,1,1,1,2023,1,,1333.9,1319.12
Andorra,Romania,0,2,1,2023,1,,946.43,1100.0
Martinique,Costa Rica,1,2,1,2023,1,,1100.0,1456.03
Curaçao,Canada,0,2,1,2023,1,,1100.0,1572.13
Bermuda,Guyana,0,2,1,2023,1,,975.05,1049.32
Montserrat,Haiti,0,4,1,2023,1,,916.75,1271.0
Sint Maarten,Bonaire,6,1,1,2023,1,,1095.0,1100.0
Turks and Caicos Islands,United States Virgin Islands,1,0,1,2023,1,,1100.0,1100.0
Fiji,Solomon Islands,0,2,0,2023,0,,1020.2442773274012,1037.9120735512158
Macau,Singapore,0,1,0,2023,0,,858.03,1052.9367653461013
New Zealand,China,2,1,0,2023,0,,1287.5487366076152,1102.4912633923848
