local,visita,goles_local,goles_visita,torneo_id,temporada
Wales,Gibraltar,4,0,0,2023
Solomon Islands,Vanuatu,1,0,1,2023
New Caledonia,Papua New Guinea,3,1,1,2023
Suriname,Haiti,1,1,1,2023
Grenada,Jamaica,1,4,1,2023
Cuba,Honduras,0,0,1,2023
Sint Maarten,Saint Kitts and Nevis,2,3,1,2023
Saint Lucia,Guadeloupe,2,1,1,2023
Bonaire,Anguilla,2,0,1,2023
Dominica,British Virgin Islands,1,1,1,2023
Colombia,Uruguay,2,2,1,2023
Bolivia,Ecuador,1,2,1,2023
Argentina,Paraguay,1,0,1,2023
Brazil,Venezuela,1,1,1,2023
Chile,Peru,2,0,1,2023
Afghanistan,Mongolia,1,0,1,2023
Cambodia,Pakistan,0,0,1,2023
Taiwan,Timor-Leste,4,0,1,2023
Hong Kong,Bhutan,4,0,1,2023
Indonesia,Brunei,6,0,1,2023
Maldives,Bangladesh,1,1,1,2023
Myanmar,Macau,5,1,1,2023
Nepal,Laos,1,1,1,2023
Singapore,Guam,2,1,1,2023
Yemen,Sri Lanka,3,0,1,2023
Algeria,Cape Verde,5,1,0,2023
Bahrain,Kyrgyzstan,2,0,0,2023
Egypt,Zambia,1,0,0,2023
Georgia,Thailand,8,0,0,2023
Montenegro,Lebanon,3,2,0,2023
Russia,Cameroon,1,0,0,2023
Sweden,Moldova,3,1,0,2023
Spain,Scotland,2,0,1,2023
Cyprus,Norway,0,4,1,2023
Latvia,Armenia,2,0,1,2023
Croatia,Turkey,0,1,1,2023
Faroe Islands,Poland,0,2,1,2023
Albania,Czech Republic,3,0,1,2023
Andorra,Kosovo,0,3,1,2023
Belarus,Romania,0,0,1,2023
Curaçao,Panama,1,2,1,2023
Martinique,El Salvador,1,0,1,2023
Trinidad and Tobago,Guatemala,3,2,1,2023
Montserrat,Nicaragua,0,3,1,2023
Barbados,Dominican Republic,0,5,1,2023
Saint Vincent and the Grenadines,French Guiana,1,4,1,2023
Belize,Bermuda,0,1,1,2023
DR Congo,New Zealand,1,1,0,2023
England,Australia,1,0,0,2023
Equatorial Guinea,Burkina Faso,0,0,0,2023
Guinea,Guinea-Bissau,1,0,0,2023
Iraq,Qatar,0,0,0,2023
Japan,Canada,4,1,0,2023
South Korea,Tunisia,4,0,0,2023
Mali,Uganda,1,0,0,2023
Nigeria,Saudi Arabia,2,2,0,2023
South Africa,Eswatini,0,0,0,2023
Vietnam,Uzbekistan,0,2,0,2023
Republic of Ireland,Greece,0,2,1,2023
Netherlands,France,1,2,1,2023
Estonia,Azerbaijan,0,2,1,2023
Austria,Belgium,2,3,1,2023
Iceland,Luxembourg,1,1,1,2023
Portugal,Slovakia,3,2,1,2023
Liechtenstein,Bosnia and Herzegovina,0,2,1,2023
Angola,Mozambique,1,1,0,2023
Puerto Rico,Guyana,1,3,1,2023
Bahamas,Antigua and Barbuda,1,4,1,2023
Aruba,United States Virgin Islands,3,1,1,2023
Ivory Coast,Morocco,1,1,0,2023
Liberia,Libya,2,3,0,2023
Mauritania,Madagascar,2,1,0,2023
Mexico,Ghana,2,0,0,2023
Niger,Somalia,3,0,0,2023
Sierra Leone,Benin,1,1,0,2023
United States,Germany,1,3,0,2023
Ukraine,North Macedonia,2,0,1,2023
Italy,Malta,4,0,1,2023
Bulgaria,Lithuania,0,2,1,2023
Hungary,Serbia,2,1,1,2023
Northern Ireland,San Marino,3,0,1,2023
Slovenia,Finland,3,0,1,2023
Denmark,Kazakhstan,3,1,1,2023
Papua New Guinea,Vanuatu,0,1,1,2023
New Caledonia,Solomon Islands,0,1,1,2023
Honduras,Cuba,4,0,1,2023
Haiti,Jamaica,2,3,1,2023
Suriname,Grenada,4,0,1,2023
Guadeloupe,Saint Lucia,2,0,1,2023
Saint Kitts and Nevis,Sint Maarten,0,1,1,2023
Kyrgyzstan,Philippines,0,1,0,2023
Sudan,Tanzania,1,1,0,2023
Georgia,Cyprus,4,0,1,2023
Norway,Spain,0,1,1,2023
Wales,Croatia,2,1,1,2023
Turkey,Latvia,4,0,1,2023
Czech Republic,Faroe Islands,1,0,1,2023
Poland,Moldova,1,1,1,2023
Switzerland,Belarus,3,3,1,2023
Romania,Andorra,4,0,1,2023
Dominican Republic,Barbados,5,2,1,2023
Nicaragua,Montserrat,3,0,1,2023
French Guiana,Saint Vincent and the Grenadines,3,2,1,2023
Saint Martin,Anguilla,8,0,1,2023
Turks and Caicos Islands,British Virgin Islands,2,2,1,2023
Algeria,Egypt,1,1,0,2023
Botswana,Eswatini,2,1,0,2023
Kenya,Russia,2,2,0,2023
China,Uzbekistan,1,2,0,2023
Mozambique,Nigeria,2,3,0,2023
Senegal,Cameroon,1,0,0,2023
Gibraltar,Republic of Ireland,0,4,1,2023
Greece,Netherlands,0,1,1,2023
Azerbaijan,Austria,0,1,1,2023
Belgium,Sweden,1,1,1,2023
Iceland,Liechtenstein,4,0,1,2023
Bosnia and Herzegovina,Portugal,0,5,1,2023
Luxembourg,Slovakia,0,1,1,2023
El Salvador,Martinique,0,0,1,2023
Panama,Guatemala,3,0,1,2023
Curaçao,Trinidad and Tobago,5,3,1,2023
Bermuda,Belize,1,1,1,2023
Antigua and Barbuda,Bahamas,2,2,1,2023
Guyana,Puerto Rico,3,1,1,2023
Cayman Islands,United States Virgin Islands,2,1,1,2023
Venezuela,Chile,3,0,1,2023
Ecuador,Colombia,0,0,1,2023
Paraguay,Bolivia,1,0,1,2023
Peru,Argentina,0,2,1,2023
Uruguay,Brazil,2,0,1,2023
Bangladesh,Maldives,2,1,1,2023
Bhutan,Hong Kong,2,0,1,2023
Brunei,Indonesia,0,6,1,2023
Guam,Singapore,0,1,1,2023
Laos,Nepal,0,1,1,2023
Macau,Myanmar,0,0,1,2023
Mongolia,Afghanistan,0,1,1,2023
Pakistan,Cambodia,1,0,1,2023
Sri Lanka,Yemen,1,1,1,2023
Taiwan,Timor-Leste,3,0,1,2023
Albania,Bulgaria,2,0,0,2023
Angola,DR Congo,0,0,0,2023
Australia,New Zealand,2,0,1,2023
Bahrain,Philippines,1,0,0,2023
Benin,Madagascar,1,2,0,2023
Burkina Faso,Mauritania,2,1,0,2023
Cape Verde,Comoros,1,2,0,2023
Estonia,Thailand,1,1,0,2023
France,Scotland,4,1,0,2023
Guinea,Gabon,1,1,0,2023
Ivory Coast,South Africa,1,1,0,2023
South Korea,Vietnam,6,0,0,2023
Libya,Niger,1,1,0,2023
Mali,Saudi Arabia,3,1,0,2023
Mexico,Germany,2,2,0,2023
North Macedonia,Armenia,3,1,0,2023
Somalia,Sierra Leone,0,2,0,2023
Sudan,Chad,1,0,0,2023
Syria,Kuwait,1,2,0,2023
United Arab Emirates,Lebanon,2,1,0,2023
United States,Ghana,4,0,0,2023
Zambia,Uganda,3,0,0,2023
Morocco,Liberia,3,0,1,2023
England,Italy,3,1,1,2023
Malta,Ukraine,1,3,1,2023
Serbia,Montenegro,3,1,1,2023
Lithuania,Hungary,2,2,1,2023
Finland,Kazakhstan,1,2,1,2023
Northern Ireland,Slovenia,0,1,1,2023
San Marino,Denmark,1,2,1,2023
United Arab Emirates,Kuwait,1,0,0,2023
Guatemala,Jamaica,0,0,0,2023
Kosovo,Israel,1,0,1,2023
Ethiopia,Sierra Leone,0,0,1,2023
DR Congo,Mauritania,2,0,1,2023
Rwanda,Zimbabwe,0,0,1,2023
Equatorial Guinea,Namibia,0,3,1,2023
Belgium,Serbia,1,0,0,2023
Israel,Switzerland,1,1,1,2023
Sint Maarten,Guadeloupe,0,2,1,2023
Saint Kitts and Nevis,Saint Lucia,0,0,1,2023
United States Virgin Islands,Aruba,1,4,1,2023
British Virgin Islands,Dominica,1,2,1,2023
Costa Rica,Panama,0,3,1,2023
United States,Trinidad and Tobago,3,0,1,2023
Bolivia,Peru,2,0,1,2023
Venezuela,Ecuador,0,0,1,2023
Colombia,Brazil,2,1,1,2023
Argentina,Uruguay,0,2,1,2023
Chile,Paraguay,0,0,1,2023
Qatar,Afghanistan,8,1,1,2023
Kuwait,India,0,1,1,2023
Japan,Myanmar,5,0,1,2023
Syria,North Korea,1,0,1,2023
Thailand,China,1,2,1,2023
South Korea,Singapore,5,0,1,2023
Oman,Taiwan,3,0,1,2023
Malaysia,Kyrgyzstan,4,3,1,2023
Iran,Hong Kong,4,0,1,2023
Turkmenistan,Uzbekistan,1,3,1,2023
Iraq,Indonesia,5,1,1,2023
Philippines,Vietnam,0,2,1,2023
Tajikistan,Jordan,1,1,1,2023
Saudi Arabia,Pakistan,4,0,1,2023
United Arab Emirates,Nepal,4,0,1,2023
Yemen,Bahrain,0,2,1,2023
Lebanon,Palestine,0,0,1,2023
Australia,Bangladesh,7,0,1,2023
Egypt,Djibouti,6,0,1,2023
Sudan,Togo,1,1,1,2023
Nigeria,Lesotho,1,1,1,2023
Cape Verde,Angola,0,0,1,2023
Burundi,Gambia,3,2,1,2023
Gabon,Kenya,2,1,1,2023
Botswana,Mozambique,2,3,1,2023
Algeria,Somalia,3,1,1,2023
Curaçao,El Salvador,1,1,0,2023
Norway,Faroe Islands,2,0,0,2023
Cyprus,Spain,1,3,1,2023
Georgia,Scotland,2,2,1,2023
Estonia,Austria,0,2,1,2023
Azerbaijan,Sweden,3,0,1,2023
Bulgaria,Hungary,2,2,1,2023
Montenegro,Lithuania,2,0,1,2023
Liechtenstein,Portugal,0,2,1,2023
Luxembourg,Bosnia and Herzegovina,4,1,1,2023
Slovakia,Iceland,4,2,1,2023
Montserrat,Dominican Republic,2,1,1,2023
Barbados,Nicaragua,0,4,1,2023
Bermuda,Saint Vincent and the Grenadines,3,1,1,2023
Belize,French Guiana,1,0,1,2023
Honduras,Mexico,2,0,1,2023
Burkina Faso,Guinea-Bissau,1,1,1,2023
Eswatini,Libya,0,1,1,2023
Cameroon,Mauritius,3,0,1,2023
Zambia,Congo,4,2,1,2023
Ivory Coast,Seychelles,9,0,1,2023
Guinea,Uganda,2,1,1,2023
Liberia,Malawi,0,1,1,2023
Tunisia,São Tomé and Príncipe,4,0,1,2023
Comoros,Central African Republic,4,2,1,2023
Ghana,Madagascar,1,0,1,2023
Mali,Chad,3,1,1,2023
Greece,New Zealand,2,0,0,2023
England,Malta,2,0,1,2023
Italy,North Macedonia,5,2,1,2023
Moldova,Albania,1,1,1,2023
Poland,Czech Republic,1,1,1,2023
Finland,Northern Ireland,4,0,1,2023
Denmark,Slovenia,2,1,1,2023
Kazakhstan,San Marino,3,1,1,2023
Papua New Guinea,Tuvalu,3,0,1,2023
Solomon Islands,Samoa,1,0,1,2023
Antigua and Barbuda,Puerto Rico,2,3,1,2023
Anguilla,Bonaire,0,3,1,2023
Jamaica,Canada,1,2,1,2023
Senegal,South Sudan,4,0,1,2023
South Africa,Benin,2,1,1,2023
Niger,Tanzania,0,1,1,2023
Germany,Turkey,2,3,0,2023
France,Gibraltar,14,0,1,2023
Netherlands,Republic of Ireland,1,0,1,2023
Armenia,Wales,1,1,1,2023
Latvia,Croatia,0,2,1,2023
Belarus,Andorra,1,0,1,2023
Switzerland,Kosovo,1,1,1,2023
Israel,Romania,1,2,1,2023
New Caledonia,Tonga,7,0,1,2023
Fiji,Northern Mariana Islands,10,0,1,2023
Guadeloupe,Saint Kitts and Nevis,5,0,1,2023
Saint Lucia,Sint Maarten,1,2,1,2023
Sierra Leone,Egypt,0,2,1,2023
Sudan,DR Congo,1,0,1,2023
Zimbabwe,Nigeria,1,1,1,2023
Burundi,Gabon,1,2,1,2023
Mozambique,Algeria,0,2,1,2023
Cyprus,Lithuania,1,0,0,2023
Scotland,Norway,3,3,1,2023
Spain,Georgia,3,1,1,2023
Belgium,Azerbaijan,5,0,1,2023
Sweden,Estonia,2,0,1,2023
Hungary,Montenegro,3,1,1,2023
Serbia,Bulgaria,2,2,1,2023
Portugal,Iceland,2,0,1,2023
Bosnia and Herzegovina,Slovakia,1,2,1,2023
Liechtenstein,Luxembourg,0,1,1,2023
Montserrat,Barbados,4,2,1,2023
Aruba,Cayman Islands,5,1,1,2023
Dominica,Turks and Caicos Islands,2,0,1,2023
Panama,Costa Rica,3,1,1,2023
Trinidad and Tobago,United States,2,1,1,2023
Djibouti,Guinea-Bissau,0,1,1,2023
Gambia,Ivory Coast,0,2,1,2023
Seychelles,Kenya,0,5,1,2023
Liberia,Equatorial Guinea,3,0,1,2023
Mali,Central African Republic,1,1,1,2023
Chad,Madagascar,0,3,1,2023
Curaçao,El Salvador,1,1,0,2023
Russia,Cuba,8,0,0,2023
North Macedonia,England,1,1,1,2023
Ukraine,Italy,0,0,1,2023
Albania,Faroe Islands,0,0,1,2023
Czech Republic,Moldova,3,0,1,2023
Northern Ireland,Denmark,2,0,1,2023
San Marino,Finland,1,2,1,2023
Slovenia,Kazakhstan,2,1,1,2023
Tuvalu,Vanuatu,0,6,1,2023
Samoa,American Samoa,10,0,1,2023
Nicaragua,Dominican Republic,0,0,1,2023
French Guiana,Bermuda,3,0,1,2023
Saint Vincent and the Grenadines,Belize,3,0,1,2023
Guyana,Antigua and Barbuda,6,0,1,2023
Puerto Rico,Bahamas,6,1,1,2023
Bonaire,Saint Martin,0,4,1,2023
Canada,Jamaica,2,3,1,2023
Mexico,Honduras,2,0,1,2023
Ecuador,Chile,1,0,1,2023
Paraguay,Colombia,0,1,1,2023
Uruguay,Bolivia,3,0,1,2023
Peru,Venezuela,1,1,1,2023
Brazil,Argentina,0,1,1,2023
India,Qatar,0,3,1,2023
Afghanistan,Kuwait,0,4,1,2023
Myanmar,North Korea,1,6,1,2023
Syria,Japan,0,5,1,2023
China,South Korea,0,3,1,2023
Singapore,Thailand,1,3,1,2023
Taiwan,Malaysia,0,1,1,2023
Kyrgyzstan,Oman,1,0,1,2023
Uzbekistan,Iran,2,2,1,2023
Hong Kong,Turkmenistan,2,2,1,2023
Philippines,Indonesia,1,1,1,2023
Vietnam,Iraq,0,1,1,2023
Pakistan,Tajikistan,1,6,1,2023
Jordan,Saudi Arabia,0,2,1,2023
Bahrain,United Arab Emirates,0,2,1,2023
Nepal,Yemen,0,2,1,2023
Palestine,Australia,0,1,1,2023
Bangladesh,Lebanon,1,1,1,2023
Ethiopia,Burkina Faso,0,3,1,2023
South Sudan,Mauritania,0,0,1,2023
Togo,Senegal,0,0,1,2023
Lesotho,Benin,0,0,1,2023
Rwanda,South Africa,2,0,1,2023
Eswatini,Cape Verde,0,2,1,2023
Libya,Cameroon,1,1,1,2023
Mauritius,Angola,0,0,1,2023
Niger,Zambia,2,1,1,2023
Tanzania,Morocco,0,2,1,2023
Somalia,Uganda,0,1,1,2023
Botswana,Guinea,1,0,1,2023
Malawi,Tunisia,0,1,1,2023
São Tomé and Príncipe,Namibia,0,2,1,2023
Comoros,Ghana,1,0,1,2023
Austria,Germany,2,0,0,2023
Poland,Latvia,2,0,0,2023
Republic of Ireland,New Zealand,1,1,0,2023
Gibraltar,Netherlands,0,6,1,2023
Greece,France,2,2,1,2023
Wales,Turkey,1,1,1,2023
Croatia,Armenia,1,0,1,2023
Andorra,Israel,0,2,1,2023
Kosovo,Belarus,0,1,1,2023
Romania,Switzerland,1,0,1,2023
Tonga,Cook Islands,1,2,1,2023
Fiji,Tahiti,0,0,1,2023
Vanuatu,Papua New Guinea,1,1,1,2023
Solomon Islands,American Samoa,11,0,1,2023
Cook Islands,New Caledonia,0,8,1,2023
Northern Mariana Islands,Tahiti,0,5,1,2023
Northern Mariana Islands,American Samoa,4,0,1,2023
Tonga,Tuvalu,0,4,1,2023
Tahiti,Samoa,2,1,1,2023
Cook Islands,Papua New Guinea,0,3,1,2023
New Caledonia,Vanuatu,1,0,1,2023
Solomon Islands,Fiji,2,0,1,2023
American Samoa,Tonga,2,6,1,2023
Northern Mariana Islands,Tuvalu,1,4,1,2023
Samoa,Cook Islands,3,0,1,2023
Tahiti,Papua New Guinea,2,0,1,2023
Vanuatu,Fiji,2,4,1,2023
Solomon Islands,New Caledonia,2,2,1,2023
Mexico,Colombia,2,3,0,2023
Japan,Thailand,5,0,0,2024
China,Hong Kong,1,2,0,2024
Indonesia,Libya,0,4,0,2024
Tajikistan,Hong Kong,2,1,0,2024
Saudi Arabia,Lebanon,1,0,0,2024
Indonesia,Libya,1,2,0,2024
Iran,Burkina Faso,2,1,0,2024
Kyrgyzstan,Syria,1,1,0,2024
Qatar,Jordan,1,2,0,2024
Togo,Algeria,0,3,0,2024
DR Congo,Angola,0,0,0,2024
Iraq,South Korea,0,1,0,2024
Bahrain,Australia,0,2,0,2024
Mozambique,Lesotho,2,0,0,2024
United Arab Emirates,Oman,0,1,0,2024
Ivory Coast,Sierra Leone,5,1,0,2024
Tunisia,Mauritania,0,0,0,2024
Mali,Guinea-Bissau,6,2,0,2024
Uzbekistan,Palestine,1,0,0,2024
Egypt,Tanzania,2,0,0,2024
Nigeria,Guinea,0,2,0,2024
Botswana,Mozambique,1,1,0,2024
Syria,Malaysia,2,2,0,2024
Senegal,Niger,1,0,0,2024
Ghana,Namibia,0,0,0,2024
Japan,Jordan,6,1,0,2024
Kyrgyzstan,Vietnam,2,1,0,2024
Zambia,Cameroon,1,1,0,2024
Equatorial Guinea,Djibouti,1,1,0,2024
Saudi Arabia,Palestine,0,0,0,2024
Burundi,Algeria,0,4,0,2024
Indonesia,Iran,0,5,0,2024
South Africa,Lesotho,0,0,0,2024
DR Congo,Burkina Faso,1,2,0,2024
Bahrain,Angola,0,3,0,2024
Saudi Arabia,Hong Kong,2,0,0,2024
Tunisia,Cape Verde,2,0,0,2024
Morocco,Sierra Leone,3,1,0,2024
Qatar,Lebanon,3,0,1,2024
Kuwait,Libya,1,3,0,2024
Sweden,Estonia,2,1,0,2024
China,Tajikistan,0,0,1,2024
Australia,India,2,0,1,2024
Uzbekistan,Syria,0,0,1,2024
Ivory Coast,Guinea-Bissau,2,0,1,2024
Guatemala,Iceland,0,1,0,2024
United Arab Emirates,Hong Kong,3,1,1,2024
Iran,Palestine,4,1,1,2024
Japan,Vietnam,4,2,1,2024
Nigeria,Equatorial Guinea,1,1,1,2024
Egypt,Mozambique,2,2,1,2024
Ghana,Cape Verde,1,2,1,2024
Indonesia,Iraq,1,3,1,2024
South Korea,Bahrain,3,1,1,2024
Malaysia,Jordan,0,4,1,2024
Senegal,Gambia,3,0,1,2024
Cameroon,Guinea,1,1,1,2024
Algeria,Angola,1,1,1,2024
Thailand,Kyrgyzstan,2,0,1,2024
Saudi Arabia,Oman,2,1,1,2024
Burkina Faso,Mauritania,1,0,1,2024
Tunisia,Namibia,0,1,1,2024
Mali,South Africa,2,0,1,2024
Lebanon,China,0,0,1,2024
Qatar,Tajikistan,1,0,1,2024
Morocco,Tanzania,3,0,1,2024
DR Congo,Zambia,1,1,1,2024
Honduras,Iceland,0,2,0,2024
Syria,Australia,0,1,1,2024
India,Uzbekistan,0,3,1,2024
Palestine,United Arab Emirates,1,1,1,2024
Equatorial Guinea,Guinea-Bissau,4,2,1,2024
Ivory Coast,Nigeria,0,1,1,2024
Egypt,Ghana,2,2,1,2024
Hong Kong,Iran,0,1,1,2024
Iraq,Japan,2,1,1,2024
Vietnam,Indonesia,0,1,1,2024
Cape Verde,Mozambique,3,0,1,2024
Senegal,Cameroon,3,1,1,2024
Guinea,Gambia,1,0,1,2024
Kuwait,Uganda,0,2,0,2024
Jordan,South Korea,2,2,1,2024
Bahrain,Malaysia,1,0,1,2024
Algeria,Burkina Faso,2,2,1,2024
Mauritania,Angola,2,3,1,2024
Tunisia,Mali,1,1,1,2024
United States,Slovenia,0,1,0,2024
Oman,Thailand,0,0,1,2024
Kyrgyzstan,Saudi Arabia,0,2,1,2024
South Africa,Namibia,4,0,1,2024
Morocco,DR Congo,1,1,1,2024
Zambia,Tanzania,1,1,1,2024
Qatar,China,1,0,1,2024
Tajikistan,Lebanon,2,1,1,2024
Guinea-Bissau,Nigeria,0,1,1,2024
Ivory Coast,Equatorial Guinea,0,4,1,2024
Cape Verde,Egypt,2,2,1,2024
Mozambique,Ghana,2,2,1,2024
Australia,Uzbekistan,1,1,1,2024
Syria,India,1,0,1,2024
Hong Kong,Palestine,0,3,1,2024
Iran,United Arab Emirates,2,1,1,2024
Gambia,Cameroon,2,3,1,2024
Guinea,Senegal,0,2,1,2024
Angola,Burkina Faso,2,0,1,2024
Mauritania,Algeria,1,0,1,2024
Iraq,Vietnam,3,2,1,2024
Japan,Indonesia,3,1,1,2024
Namibia,Mali,0,0,1,2024
South Africa,Tunisia,0,0,1,2024
Tanzania,DR Congo,0,0,1,2024
Zambia,Morocco,0,1,1,2024
Jordan,Bahrain,0,1,1,2024
South Korea,Malaysia,3,3,1,2024
Kyrgyzstan,Oman,1,1,1,2024
Saudi Arabia,Thailand,0,0,1,2024
Angola,Namibia,3,0,1,2024
Nigeria,Cameroon,2,0,1,2024
Australia,Indonesia,4,0,1,2024
Tajikistan,United Arab Emirates,1,1,1,2024
Egypt,DR Congo,1,1,1,2024
Equatorial Guinea,Guinea,0,1,1,2024
Iraq,Jordan,2,3,1,2024
Qatar,Palestine,2,1,1,2024
Cape Verde,Mauritania,1,0,1,2024
Ivory Coast,Senegal,1,1,1,2024
Saudi Arabia,South Korea,1,1,1,2024
Uzbekistan,Thailand,2,1,1,2024
Mali,Burkina Faso,2,1,1,2024
Morocco,South Africa,0,2,1,2024
Bahrain,Japan,1,3,1,2024
Iran,Syria,1,1,1,2024
Australia,South Korea,1,2,1,2024
Tajikistan,Jordan,0,1,1,2024
DR Congo,Guinea,3,1,1,2024
Nigeria,Angola,1,0,1,2024
Iran,Japan,2,1,1,2024
Qatar,Uzbekistan,1,1,1,2024
Cape Verde,South Africa,0,0,1,2024
Ivory Coast,Mali,2,1,1,2024
Costa Rica,El Salvador,2,0,0,2024
Jordan,South Korea,2,0,1,2024
Qatar,Iran,3,2,1,2024
Ivory Coast,DR Congo,1,0,1,2024
Nigeria,South Africa,1,1,1,2024
Qatar,Jordan,3,1,1,2024
South Africa,DR Congo,0,0,1,2024
Ivory Coast,Nigeria,2,1,1,2024
Trinidad and Tobago,Jamaica,0,1,0,2024
Trinidad and Tobago,Jamaica,0,0,0,2024
Kazakhstan,Turkmenistan,2,0,0,2024
Solomon Islands,Fiji,2,1,0,2024
Bonaire,El Salvador,1,1,0,2024
San Marino,Saint Kitts and Nevis,1,3,0,2024
Djibouti,Liberia,0,2,1,2024
Somalia,Eswatini,0,3,1,2024
Tonga,Samoa,1,4,1,2024
South Africa,Andorra,1,1,1,2024
Cape Verde,Guyana,1,0,1,2024
Guinea,Vanuatu,6,0,1,2024
Panama,Mexico,0,3,1,2024
United States,Jamaica,3,1,1,2024
Gibraltar,Lithuania,0,1,1,2024
Poland,Estonia,5,1,1,2024
Wales,Finland,4,1,1,2024
Israel,Iceland,1,4,1,2024
Bosnia and Herzegovina,Ukraine,1,2,1,2024
Georgia,Luxembourg,2,0,1,2024
Greece,Kazakhstan,5,0,1,2024
Qatar,Kuwait,3,0,1,2024
Afghanistan,India,0,0,1,2024
Myanmar,Syria,1,1,1,2024
Japan,North Korea,1,0,1,2024
South Korea,Thailand,1,1,1,2024
Singapore,China,2,2,1,2024
Taiwan,Kyrgyzstan,0,2,1,2024
Oman,Malaysia,2,0,1,2024
Iran,Turkmenistan,5,0,1,2024
Hong Kong,Uzbekistan,0,2,1,2024
Indonesia,Vietnam,1,0,1,2024
Iraq,Philippines,1,0,1,2024
Pakistan,Jordan,0,3,1,2024
Saudi Arabia,Tajikistan,1,0,1,2024
Bahrain,Nepal,5,0,1,2024
United Arab Emirates,Yemen,2,1,1,2024
Australia,Lebanon,2,0,1,2024
Palestine,Bangladesh,5,0,1,2024
Belize,Puerto Rico,1,1,0,2024
Cyprus,Latvia,1,1,0,2024
Ecuador,Guatemala,2,0,0,2024
Ethiopia,Lesotho,1,2,0,2024
Malta,Slovenia,2,2,0,2024
Montenegro,Belarus,2,0,0,2024
Portugal,Sweden,5,2,0,2024
Solomon Islands,Fiji,0,2,0,2024
Venezuela,Italy,1,2,0,2024
Algeria,Bolivia,3,2,1,2024
Azerbaijan,Mongolia,1,0,1,2024
Bulgaria,Tanzania,1,0,1,2024
Egypt,New Zealand,1,0,1,2024
Equatorial Guinea,Cambodia,2,0,1,2024
Brunei,Bermuda,0,2,1,2024
Central African Republic,Bhutan,6,0,1,2024
Sri Lanka,Papua New Guinea,0,0,1,2024
Anguilla,Turks and Caicos Islands,0,0,1,2024
United States Virgin Islands,British Virgin Islands,1,1,1,2024
Albania,Chile,0,3,0,2024
Argentina,El Salvador,3,0,0,2024
Armenia,Kosovo,0,1,0,2024
Burkina Faso,Libya,1,2,0,2024
Comoros,Uganda,4,0,0,2024
Hungary,Turkey,1,0,0,2024
Liechtenstein,Faroe Islands,0,4,0,2024
Mauritania,Mali,0,2,0,2024
Morocco,Angola,1,0,0,2024
Netherlands,Scotland,4,0,0,2024
Niger,Togo,1,2,0,2024
Nigeria,Ghana,2,1,0,2024
North Macedonia,Moldova,1,1,0,2024
Norway,Czech Republic,1,2,0,2024
Peru,Nicaragua,2,0,0,2024
Romania,Northern Ireland,1,1,0,2024
Senegal,Gabon,3,0,0,2024
Spain,Colombia,0,1,0,2024
Chad,Mauritius,1,0,1,2024
São Tomé and Príncipe,South Sudan,1,1,1,2024
Tunisia,Croatia,0,0,1,2024
Canada,Trinidad and Tobago,2,0,1,2024
Costa Rica,Honduras,3,1,1,2024
Denmark,Switzerland,0,0,0,2024
Dominican Republic,Aruba,2,0,0,2024
England,Brazil,0,1,0,2024
France,Germany,0,2,0,2024
Ivory Coast,Benin,2,2,0,2024
Republic of Ireland,Belgium,0,0,0,2024
Slovakia,Austria,0,2,0,2024
Samoa,Cook Islands,1,0,1,2024
Jamaica,Panama,1,0,1,2024
United States,Mexico,2,0,1,2024
Belize,Puerto Rico,3,0,0,2024
Ecuador,Italy,0,2,0,2024
Ethiopia,Lesotho,2,1,0,2024
Guatemala,Venezuela,0,0,0,2024
San Marino,Saint Kitts and Nevis,0,0,0,2024
Suriname,Martinique,1,1,0,2024
Bolivia,Andorra,1,0,1,2024
Azerbaijan,Bulgaria,1,1,1,2024
Tanzania,Mongolia,3,0,1,2024
Cape Verde,Equatorial Guinea,1,0,1,2024
Bermuda,Guinea,1,5,1,2024
Central African Republic,Papua New Guinea,4,0,1,2024
Sri Lanka,Bhutan,2,0,1,2024
Comoros,Angola,0,0,0,2024
Cyprus,Serbia,0,1,0,2024
Gabon,Congo,1,1,0,2024
Montenegro,North Macedonia,1,0,0,2024
Sweden,Albania,1,0,0,2024
Algeria,South Africa,3,3,1,2024
Egypt,Croatia,2,4,1,2024
New Zealand,Tunisia,0,0,1,2024
Cambodia,Guyana,1,4,1,2024
Brunei,Vanuatu,3,2,1,2024
Lithuania,Gibraltar,1,0,1,2024
Wales,Poland,0,0,1,2024
Ukraine,Iceland,2,1,1,2024
Georgia,Greece,0,0,1,2024
India,Afghanistan,1,2,1,2024
Kuwait,Qatar,1,2,1,2024
Syria,Myanmar,7,0,1,2024
Thailand,South Korea,0,3,1,2024
China,Singapore,4,1,1,2024
Kyrgyzstan,Taiwan,5,1,1,2024
Malaysia,Oman,0,2,1,2024
Uzbekistan,Hong Kong,3,0,1,2024
Turkmenistan,Iran,0,1,1,2024
Philippines,Iraq,0,5,1,2024
Vietnam,Indonesia,0,3,1,2024
Tajikistan,Saudi Arabia,1,1,1,2024
Jordan,Pakistan,7,0,1,2024
Bahrain,Nepal,3,0,1,2024
Yemen,United Arab Emirates,0,3,1,2024
Bangladesh,Palestine,0,1,1,2024
Australia,Lebanon,5,0,1,2024
British Virgin Islands,United States Virgin Islands,0,0,1,2024
Turks and Caicos Islands,Anguilla,1,1,1,2024
Argentina,Costa Rica,3,1,0,2024
Austria,Turkey,6,1,0,2024
Colombia,Romania,3,2,0,2024
